H2Oice	G0230
scanned warm and tilted by ~5 deg	
Wavelength (nm)	%T
2691	0.015109
2690	0.022185
2689	0.016352
2688	0.020174
2687	0.019512
2686	0.012802
2685	0.013167
2684	0.018502
2683	0.017124
2682	0.013366
2681	0.020172
2680	0.015081
2679	0.013331
2678	0.013723
2677	0.018314
2676	0.012758
2675	0.018718
2674	0.011797
2673	0.008515
2672	0.015975
2671	0.013613
2670	0.010888
2669	0.013401
2668	0.010748
2667	0.018062
2666	0.01162
2665	0.012804
2664	0.01317
2663	0.0099419
2662	0.0089206
2661	0.0083584
2660	0.011108
2659	0.010285
2658	0.013699
2657	0.0060829
2656	0.011569
2655	0.011271
2654	0.0076863
2653	0.004999
2652	0.008863
2651	0.012509
2650	0.00855
2649	0.0097667
2648	0.01077
2647	0.011294
2646	0.011046
2645	0.0039215
2644	0.0037647
2643	0.0063193
2642	0.010632
2641	0.011673
2640	0.0031336
2639	0.0037588
2638	0.010606
2637	0.0064125
2636	0.0042439
2635	0.004031
2634	0.010493
2633	0.010653
2632	0.0087717
2631	0.004778
2630	0.007172
2629	0.0095775
2628	0.010462
2627	0.0063441
2626	0.0065513
2625	0.0084877
2624	0.0086507
2623	0.0075057
2622	0.0054485
2621	0.0077987
2620	0.0033043
2619	0.010453
2618	0.0084043
2617	0.002363
2616	0.0066596
2615	0.0071304
2614	0.004577
2613	0.0081669
2612	0.0022828
2611	0.010956
2610	0.0067981
2609	0.0093819
2608	0.0094439
2607	0.0088395
2606	0.0087043
2605	0.0042248
2604	0.0043444
2603	0.0085503
2602	0.01082
2601	0.0053288
2600	0.012108
2599	0.0011289
2598	0.0070983
2597	0.0087693
2596	0.0015302
2595	0.0075114
2594	0.011574
2593	0.0074264
2592	0.0075124
2591	0.00873
2590	0.011199
2589	0.0091002
2588	0.004526
2587	0.0055702
2586	0.0055043
2585	0.0066265
2584	0.0098962
2583	0.010294
2582	0.0088609
2581	0.0085339
2580	0.0049676
2579	0.011457
2578	0.0054536
2577	0.005542
2576	0.0046414
2575	0.006597
2574	0.012515
2573	0.010341
2572	0.0044826
2571	0.011
2570	0.0055054
2569	0.0086252
2568	0.0075008
2567	0.010552
2566	0.0051242
2565	0.0094984
2564	0.0048019
2563	0.0054836
2562	0.0058558
2561	0.0054474
2560	0.010339
2559	0.0037945
2558	0.010935
2557	0.0068723
2556	0.0073515
2555	0.0092144
2554	-0.0009399
2553	0.0090882
2552	0.0070502
2551	0.0055015
2550	0.0054975
2549	0.008981
2548	0.0035552
2547	0.0082462
2546	0.0076638
2545	0.0099367
2544	0.005829
2543	0.010661
2542	0.0084204
2541	0.0095793
2540	0.0065199
2539	0.0085433
2538	0.0081382
2537	0.0098127
2536	0.010166
2535	0.0072012
2534	0.017619
2533	0.0090462
2532	0.011073
2531	0.005663
2530	0.0064784
2529	0.0076892
2528	0.016316
2527	0.0091236
2526	0.0053884
2525	0.010108
2524	0.011544
2523	0.014395
2522	0.015117
2521	0.0088959
2520	0.014728
2519	0.013588
2518	0.013516
2517	0.01595
2516	0.015071
2515	0.017907
2514	0.012755
2513	0.016683
2512	0.020743
2511	0.021913
2510	0.025857
2509	0.023442
2508	0.023413
2507	0.028068
2506	0.0164
2505	0.025576
2504	0.033317
2503	0.024908
2502	0.027195
2501	0.029723
2500	0.031799
2499	0.027823
2498	0.031209
2497	0.032556
2496	0.039933
2495	0.040242
2494	0.033595
2493	0.039597
2492	0.042586
2491	0.04308
2490	0.040379
2489	0.04183
2488	0.04369
2487	0.043908
2486	0.046109
2485	0.039678
2484	0.044929
2483	0.038312
2482	0.039931
2481	0.044579
2480	0.036952
2479	0.039545
2478	0.0347
2477	0.03721
2476	0.040001
2475	0.04099
2474	0.031974
2473	0.033093
2472	0.029508
2471	0.030768
2470	0.026806
2469	0.026126
2468	0.030462
2467	0.020714
2466	0.027129
2465	0.021655
2464	0.023087
2463	0.024176
2462	0.024927
2461	0.021459
2460	0.022951
2459	0.020183
2458	0.022217
2457	0.018857
2456	0.017566
2455	0.016736
2454	0.023812
2453	0.009363
2452	0.011167
2451	0.018563
2450	0.0098963
2449	0.016985
2448	0.010545
2447	0.012584
2446	0.012482
2445	0.017034
2444	0.0083061
2443	0.0095685
2442	0.012996
2441	0.013168
2440	0.012523
2439	0.017801
2438	0.014101
2437	0.016674
2436	0.0097736
2435	0.015383
2434	0.0059416
2433	0.0071417
2432	0.017572
2431	0.012269
2430	0.01069
2429	0.011161
2428	0.0060122
2427	0.016108
2426	0.0086224
2425	0.013527
2424	0.0076654
2423	0.012999
2422	0.0157
2421	0.0095601
2420	0.017006
2419	0.0060947
2418	0.0099853
2417	0.0084938
2416	0.0085523
2415	0.0073047
2414	0.0124
2413	0.011791
2412	0.0094246
2411	0.014622
2410	0.011911
2409	0.011723
2408	0.0095169
2407	0.016924
2406	0.012159
2405	0.013752
2404	0.0079247
2403	0.0098733
2402	0.0099163
2401	0.010505
2400	0.012305
2399	0.014523
2398	0.011913
2397	0.014617
2396	0.009426
2395	0.0097474
2394	0.012945
2393	0.0058115
